Interessado,UF,Tipo_de_interessado,Tipo_de_operação,Finalidade,Tipo_de_credor,Credor,Moeda,Valor,Número_do_Processo/PVL,Código_IBGE,Status,Data,Analisado_por,Regiao
Acopiara,CE,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1622765.16,17944.001029/2011-12,2300309.0,Deferido,2011-10-13,STN,Nordeste
Acopiara,CE,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco do Brasil S/A,Real,847180.0,17944.001712/2006-92,2300309.0,Deferido,2007-03-05,STN,Nordeste
Acre,AC,Estado,Operação Contratual Interna,Desenvolvimento sustentável,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,39980000.0,17944.000164/2002-50,12.0,Deferido,2002-05-30,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,64800000.0,17944.000219/2013-84,12.0,Deferido,2013-05-27,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,900000.0,17944.000221/2013-53,12.0,Deferido,2013-05-27,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1019086.65,17944.000222/2013-06,12.0,Deferido,2013-05-27,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1687756.54,17944.000225/2013-31,12.0,Deferido,2013-05-27,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2549253.43,17944.000226/2013-86,12.0,Deferido,2013-05-27,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1500000.0,17944.000227/2013-21,12.0,Deferido,2013-05-27,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Contrapartida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,7463466.13,17944.000228/2013-75,12.0,Deferido,2013-05-27,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Pró-Moradia - 2008,Instituição Financeira Nacional,Caixa Econômica Federal,Real,17180000.0,17944.000247/2009-15,12.0,Deferido,2009-05-15,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Saneamento - 2008,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,60759000.0,17944.000420/2008-02,12.0,Deferido,2008-03-28,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Saneamento - 2008,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,9000000.0,17944.000452/2008-08,12.0,Deferido,2008-03-28,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PMAE,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,7000000.0,17944.000453/2008-44,12.0,Deferido,2008-03-28,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Desenvolvimento sustentável,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,440506805.0,17944.000454/2008-99,12.0,Deferido,2008-03-28,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,22191848.71,17944.000513/2004-03,12.0,Deferido,2004-06-02,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,136886666.0,17944.000687/2005-49,12.0,Deferido,2005-06-03,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,850000.0,17944.000688/2005-93,12.0,Deferido,2005-06-03,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,34150000.0,17944.000841/2013-92,12.0,Deferido,2014-04-07,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,55119000.0,17944.000842/2013-37,12.0,Deferido,2014-04-07,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,35370000.0,17944.000986/2013-93,12.0,Deferido,2014-04-07,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Desenvolvimento sustentável,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,136876500.0,17944.001040/2009-68,12.0,Deferido,2009-10-22,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,121991238.62,17944.001231/2011-44,12.0,Deferido,2011-10-06,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC 2 - Pró-Moradia,Instituição Financeira Nacional,Caixa Econômica Federal,Real,9961818.18,17944.001232/2011-99,12.0,Deferido,2011-10-06,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,BNDES Estados,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,641160000.0,17944.001336/2011-01,12.0,Deferido,2012-02-14,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,PAC - Pró-Moradia - 2008,Instituição Financeira Nacional,Caixa Econômica Federal,Real,31220000.0,17944.001410/2008-86,12.0,Deferido,2008-06-12,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,60000000.0,17944.000633/2017-17,12.0,Deferido,2017-12-14,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,95000000.0,17944.000634/2017-61,12.0,Deferido,2017-12-29,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Renegociação de dívidas,União,União,Real,311945371.01,17944.103796/2017-51,12.0,Deferido,2018-05-21,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,60000000.0,17944.103999/2018-28,12.0,Deferido,2018-05-24,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,95000000.0,17944.104000/2018-68,12.0,Deferido,2018-05-24,STN,Norte
Acre,AC,Estado,Operação Contratual Interna,Pró-Moradia,Instituição Financeira Nacional,Caixa Econômica Federal,Real,42710281.97,17944.104324/2023-63,12.0,Deferido,2023-09-20,STN,Norte
Açu,RN,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,25000000.0,17944.101237/2023-54,2400208.0,Deferido,2023-03-27,STN,Nordeste
Açucena,MG,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,448470.0,17944.000201/2008-15,3100500.0,Deferido,2008-02-27,STN,Sudeste
Açucena,MG,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Cemig Distribuição S/A,Real,77948.28,17944.000338/2008-70,3100500.0,Regularizado,2008-02-27,STN,Sudeste
Açucena,MG,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,650000.0,17944.000660/2011-02,3100500.0,Deferido,2011-06-29,STN,Sudeste
Açucena,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1000000.0,17944.000427/2016-26,3100500.0,Deferido,2016-04-18,STN,Sudeste
Adamantina,SP,Município,Operação Contratual Interna,Desenvolvimento sustentável,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,8000000.0,17944.103960/2021-14,3500105.0,Deferido,2021-12-01,STN,Sudeste
Adrianópolis,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,550000.0,19406.000301/2008-64,4100202.0,Deferido,2008-05-23,STN,Sul
Adrianópolis,PR,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,401200.0,19406.000384/2008-91,4100202.0,Deferido,2008-04-28,STN,Sul
Adrianópolis,PR,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Companhia Paranaense de Energia,Real,726508.0,19406.000385/2008-36,4100202.0,Regularizado,2008-04-28,STN,Sul
Adrianópolis,PR,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,407681.82,19406.000430/2010-77,4100202.0,Deferido,2010-10-11,STN,Sul
Afogados da Ingazeira,PE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,24000000.0,17944.103570/2022-17,2600104.0,Deferido,2022-09-13,STN,Nordeste
Afonso Cláudio,ES,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1250000.0,17944.001172/2009-90,3200102.0,Deferido,2012-05-24,STN,Sudeste
Afrânio,PE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,15000000.0,17944.102866/2022-11,2600203.0,Deferido,2022-07-28,STN,Nordeste
Afrânio,PE,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6000000.0,17944.101239/2023-43,2600203.0,Deferido,2023-03-24,STN,Nordeste
Agrolândia,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1000000.0,17944.000371/2014-48,4200200.0,Deferido,2014-04-03,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Caminho da Escola 2,Instituição Financeira Nacional,Banco do Brasil S/A,Real,300000.0,17944.000691/2008-50,4200200.0,Deferido,2008-06-03,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Brasil S/A,Real,259250.0,17944.001765/2014-13,4200200.0,Deferido,2014-12-03,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1900000.0,17944.001861/2011-19,4200200.0,Deferido,2011-11-30,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Regularização de Dívida - Outros,Outras,Pessoa Jurídica,Real,85000.0,19406.000012/2007-84,4200200.0,Regularizado,2007-07-05,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,PNAFM,Instituição Financeira Nacional,Caixa Econômica Federal,Real,216942.0,19406.000076/2005-13,4200200.0,Deferido,2005-12-21,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Renegociação de dívidas,Outras,Pessoa Jurídica,Real,86703.4,19406.000088/2007-18,4200200.0,Deferido,2007-07-05,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,200000.0,19406.000162/2003-64,4200200.0,Deferido,2003-10-07,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,450000.0,19406.000352/2009-77,4200200.0,Deferido,2010-03-16,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,300000.0,19406.000503/2007-25,4200200.0,Deferido,2007-12-19,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Multissetorial,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,200000.0,19406.000769/2006-97,4200200.0,Deferido,2007-07-05,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1000000.0,17944.000591/2017-14,4200200.0,Deferido,2017-08-04,STN,Sul
Agrolândia,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000.0,17944.104273/2021-16,4200200.0,Deferido,2021-12-14,STN,Sul
Agronômica,SC,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1000000.0,17944.000041/2015-33,4200309.0,Deferido,2015-07-21,STN,Sul
Agronômica,SC,Município,Operação Contratual Interna,Caminho da Escola 2009 A,Instituição Financeira Nacional,Banco do Brasil S/A,Real,321000.0,17944.000199/2011-80,4200309.0,Deferido,2011-03-09,STN,Sul
Agronômica,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1000000.0,17944.001477/2013-88,4200309.0,Deferido,2014-04-02,STN,Sul
Agronômica,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,90000.0,19406.000125/2002-75,4200309.0,Deferido,2002-07-12,STN,Sul
Água Boa,MT,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco do Brasil S/A,Real,250000.0,17944.000732/2004-84,5100201.0,Deferido,2004-06-30,STN,Centro-Oeste
Água Boa,MT,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Centrais Elétricas Matogrossenses S.A.,Real,572476.02,17944.000846/2009-39,5100201.0,Regularizado,2010-07-06,STN,Centro-Oeste
Água Boa,MT,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11000000.0,17944.101775/2022-68,5100201.0,Deferido,2022-06-10,STN,Centro-Oeste
Água Boa,MT,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10102427.59,17944.102065/2023-36,5100201.0,Deferido,2023-05-18,STN,Centro-Oeste
Água Doce,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,550000.0,17944.000277/2011-46,4200408.0,Deferido,2011-06-21,STN,Sul
Água Doce,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,450000.0,17944.000278/2011-91,4200408.0,Deferido,2011-06-21,STN,Sul
Água Doce,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1200000.0,17944.001314/2013-03,4200408.0,Deferido,2013-12-19,STN,Sul
Água Doce,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,400000.0,19406.000005/2005-11,4200408.0,Deferido,2005-04-13,STN,Sul
Água Doce,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,90000.0,19406.000016/2002-58,4200408.0,Deferido,2002-05-08,STN,Sul
Água Doce,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,600000.0,19406.000358/2006-00,4200408.0,Deferido,2006-06-30,STN,Sul
Água Doce,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1000000.0,17944.000978/2015-17,4200408.0,Deferido,2016-01-15,STN,Sul
Água Santa,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,350000.0,17944.000036/2012-88,4300059.0,Deferido,2012-03-13,STN,Sul
Água Santa,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,700000.0,17944.001891/2014-78,4300059.0,Deferido,2015-01-06,STN,Sul
Água Santa,RS,Município,Operação Contratual Interna,Caminho da Escola 2,Instituição Financeira Nacional,Banco do Brasil S/A,Real,172700.0,19406.000387/2008-25,4300059.0,Deferido,2008-05-20,STN,Sul
Água Santa,RS,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Estado do Rio Grande do Sul,Real,350000.0,19406.000428/2006-11,4300059.0,Deferido,2006-09-23,STN,Sul
Água Santa,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,250000.0,19406.000504/2006-99,4300059.0,Deferido,2006-09-23,STN,Sul
Aguaí,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,12000000.0,17944.102628/2020-43,3500303.0,Deferido,2020-12-29,STN,Sudeste
Aguanil,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,550000.0,17944.000898/2010-49,3100807.0,Deferido,2010-07-20,STN,Sudeste
Águas de Chapecó,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,680000.0,17944.000429/2014-53,4200507.0,Deferido,2014-04-17,STN,Sul
Águas de Chapecó,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,500000.0,19406.000395/2008-71,4200507.0,Deferido,2008-04-22,STN,Sul
Águas de Lindóia,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6060000.0,17944.103711/2019-04,3500501.0,Deferido,2020-01-23,STN,Sudeste
Águas de Santa Bárbara,SP,Município,Operação Contratual Interna,Regularização de Dívida - RELUZ,Empresa Não Estatal,Companhia Luz e Força Santa Cruz,Real,17233.04,17944.108936/2018-68,3500550.0,Regularizado,2019-02-18,STN,Sudeste
Águas Formosas,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,687692.58,17944.001010/2010-95,3100906.0,Deferido,2010-10-29,STN,Sudeste
